Query_4274195,WP_025470931.1,100.000,104,0,0,71,382,4,107,6.40e-70,215,100.00,2,0
Query_4274195,WP_220719734.1,97.115,104,3,0,71,382,24,127,4.15e-68,211,98.08,2,0
Query_4274195,WP_220719734.1,95.652,23,1,0,1,69,1,23,0.001,47.0,100.00,1,0
Query_4274195,WP_124831680.1,96.154,104,4,0,71,382,24,127,8.94e-68,210,97.12,2,0
Query_4274195,WP_124831680.1,91.304,23,2,0,1,69,1,23,0.004,45.8,100.00,1,0
Query_4274195,WP_079964170.1,83.654,104,17,0,71,382,24,127,3.31e-62,196,98.08,2,0
Query_4274195,WP_079964170.1,68.750,32,10,0,1,96,1,32,0.007,45.4,75.00,1,0
Query_4274195,WP_016594713.1,100.000,95,0,0,98,382,1,95,6.67e-62,194,100.00,2,0
Query_4274195,ENO7467585.1,84.615,104,16,0,71,382,24,127,1.35e-60,192,95.19,2,0
Query_4274195,ENO7467585.1,82.609,23,4,0,1,69,1,23,0.036,43.5,95.65,1,0
Query_4274195,WP_270146268.1,84.615,104,16,0,71,382,24,127,1.45e-60,192,93.27,2,0
Query_4274195,WP_270146268.1,91.304,23,2,0,1,69,1,23,0.011,44.7,95.65,1,0
Query_4274195,WP_046083842.1,81.731,104,19,0,71,382,24,127,9.38e-60,190,96.15,2,0
Query_4274195,WP_046083842.1,67.647,34,9,1,1,102,1,32,0.004,45.8,79.41,1,0
Query_4274195,WP_001405042.1,80.769,104,20,0,71,382,24,127,9.58e-58,185,93.27,2,0
Query_4274195,WP_001405042.1,95.652,23,1,0,1,69,1,23,0.002,47.0,100.00,1,0
Query_4274195,WP_313830406.1,79.808,104,21,0,71,382,24,127,2.90e-57,184,94.23,2,0
Query_4274195,WP_313830406.1,91.304,23,2,0,1,69,1,23,0.010,45.1,95.65,1,0
Query_4274195,WP_130097770.1,79.808,104,21,0,71,382,24,127,1.36e-56,182,90.38,2,0
Query_4274195,WP_075183882.1,79.808,104,21,0,71,382,24,127,1.50e-56,182,91.35,2,0
Query_4274195,WP_075183882.1,68.750,32,10,0,1,96,1,32,0.001,47.4,78.12,1,0
